author,career_length,paper_year
Javed Aslam,23,11
Jean-Luc Starck,24,12
Ramesh Sharda,31,19
Toby Walsh,25,17
Anthony KH Tung,16,3
Songwu Lu,38,26
Marc P. Armstrong,31,7
Eric Y. Durand,8,4
Sergej Flach,27,11
Kelvin Li,13,7
Daniele Miorandi,12,3
E. Michael Maximilien,12,3
Xiqi Gao,20,6
Luca Benini,24,12
Zhifei Li,35,30
Jana Kosecka,21,12
Florentin Smarandache,35,11
John Heidemann,24,12
Wendong Xiao,26,20
Amol Deshpande,15,4
seungryong cho,39,28
Junggon Kim,32,18
Shahram Izadi,13,10
Jeffrey S. Vitter,34,7
Yinong Chen,36,27
Francisco Chiclana,18,2
Jos Roerdink,33,19
Miguel Castro,23,11
Ahmed MA El-Sayed,22,15
Klaus-Robert Müller,22,6
Kevin Bretonnel Cohen,12,6
Hans van Ditmarsch,16,9
Mario Diani,28,24
paul muhlethaler,26,16
Sebastian Hellmann,6,1
Joel A. Tropp,12,4
Mikael Skoglund,21,8
Michael M. Hoffman,21,19
Aapo Hyvarinen,18,8
Lijun Chen,16,8
Jens Krueger,27,19
Joseph J. LaViola Jr.,17,7
Dina Demner-Fushman,12,5
Ka-Ping Yee,9,3
Aruna Seneviratne,31,19
Ingrid Zukerman,30,17
David Gay,17,9
Keith Copsey,12,11
Rodrigo Rodrigues,15,10
Amit Roy-Chowdhury,16,6
Zhibing Wang,34,24
Jürgen Dix,24,15
Olivier Devillers,26,15
Milos D. Ercegovac,41,31
Ricardo de Queiroz,21,11
Richard Durbin,34,21
Michel Kieffer,16,3
Kieran Gerard Larkin,22,5
Douglas Comer,38,30
Stefano Mizzaro,20,3
Charles LA Clarke,23,17
S. David Wu,34,11
Jaime E. Villate,22,17
Ferenc FRIEDLER,34,32
Jae-Kwan Kim,29,17
G. Narahari Sastry,24,7
Atif Memon,41,28
Christian Ott,13,6
Jose Tribolet,40,3
Alan Fekete,27,14
Rocco Servedio,19,9
Michael Gschwind,19,12
Ran Canetti,23,6
Zhong Zhang,34,19
Geert-Jan Kruijff,20,14
Thomas Funkhouser,25,13
Chenghua Lin,39,33
Moon Hyun Kim,39,29
Steve Easterbrook,25,11
Michael C. Schatz,10,3
Hugues Bersini,26,7
Wei Sun,30,9
Lingyu Wang,12,2
Philip Emma,30,7
William J. Clancey,38,9
Longbing Cao,18,13
Alexander Rudnicky,39,31
Mahmood Azimi-Sadjadi,33,18
Gary Bradski,23,17
Zhang Zexu,35,22
Tai-hoon Kim,38,17
Ryutarou Ohbuchi （大渕 竜太郎）,24,2
Marcello La Rosa,8,2
Enrico Puppo,26,9
Etienne Burdet,20,7
Zhaolei Zhang, Professor,17,1
Trevor Mudge,43,30
Thomas A. Glass,29,15
Su Golder,15,5
Manuel Costa,18,11
Ron Vetter,22,11
Piero P. Bonissone,34,12
Anees Shaikh,19,5
David J Heeger,34,16
Deepak Ganesan,13,0
Robert Gaizauskas,26,15
Jason D. Hughes,16,1
IB Türkşen,44,16
Dick Crouch,24,15
Daniel Scharstein,21,9
Peter Desain,28,3
Michiel van de Panne,25,12
Jerome Mutterer,17,6
Alon Keinan,11,7
Salil Vadhan,24,11
Wen-Hsiang Tsai,36,7
Xi Zhang,30,24
Teresa Przytycka,27,2
Alec Wolman,23,12
Sing-Hoi Sze,18,3
Francesco Scarcello,19,11
Tamer ElBatt,18,8
Mark Campbell,31,20
Robert M. French,29,14
Krishna Pattipati,34,17
Wolfgang Förstner,36,9
maarten marx,22,12
Kevin Crowston,28,8
David H Ackley,31,3
Michael Fisher,28,8
Tetsuo Asano,43,26
Curtis Dyreson,22,2
Liang Wang,14,5
David I. August,37,28
Buğra Gedik,11,2
Christoph Koch,17,8
John Langford,16,2
Wlodek Kofman,36,28
Roderick Murray-Smith,22,5
Inderjit S. Dhillon,25,8
Nicoletta Calzolari,41,29
Hanxi Li,37,29
Ashutosh Saxena,12,3
Anders Heyden,20,4
Steve Marschner,20,7
Henrik Bengtsson,15,12
Dipanjan Chakraborty,14,2
Jing Deng,15,7
Alan M Moses,11,3
Agnar Aamodt,25,5
Gurmeet Manku,17,6
Andrew M Fraser,24,0
Xindong Wu,26,20
Philippe Lemey,14,10
Gilles Fedak,14,1
Vagelis Hristidis (aka Evangelos Christidis),13,1
Sanjay Lall,20,12
Moises Goldszmidt,22,6
Shuicheng Yan, 颜水成,33,23
Leanne Guy,22,20
Peter Hall,43,28
Jonathan Aldrich,17,5
Koji Yamamoto,27,2
Paul M. Aoki,23,7
Liang Wang,8,4
A. Michael Froomkin,26,13
Kristian Kersting,14,0
Michael Maire,10,7
Christopher Ré,12,5
Koon-Kiu Yan,16,14
Nathan Srebro,14,11
Lior Pachter,19,7
Anat Levin,12,7
Jur van den Berg,11,4
Baoxin Li,32,19
Ayellet Tal,23,21
